Time(s),CH1V,CH2V
-2.500000e-07,-7.333333e-04,-2.866667e-03
-2.495000e-07,7.333333e-04,-2.800000e-03
-2.490000e-07,-3.933333e-03,-1.866667e-03
-2.485000e-07,-3.666667e-03,-1.733333e-03
-2.480000e-07,6.866667e-03,-3.866667e-03
-2.475000e-07,2.733333e-03,-1.566667e-02
-2.470000e-07,-1.286667e-02,-1.086667e-02
-2.465000e-07,-8.400000e-03,8.000000e-03
-2.460000e-07,1.666667e-03,6.000000e-03
-2.455000e-07,-2.333333e-03,-5.133334e-03
-2.450000e-07,-6.000000e-03,-5.066667e-03
-2.445000e-07,-5.933333e-03,1.600000e-03
-2.440000e-07,2.000000e-04,-1.333333e-04
-2.435000e-07,-1.666667e-03,-1.000000e-02
-2.430000e-07,-1.080000e-02,-4.333334e-03
-2.425000e-07,-1.600000e-03,7.200000e-03
-2.420000e-07,3.000000e-03,-1.333333e-04
-2.415000e-07,-4.600000e-03,-1.093333e-02
-2.410000e-07,-1.533333e-03,-5.866667e-03
-2.405000e-07,5.133334e-03,1.133333e-03
-2.400000e-07,5.666667e-03,-2.000000e-03
-2.395000e-07,-2.866667e-03,-7.866667e-03
-2.390000e-07,-7.800000e-03,-8.133333e-03
-2.385000e-07,-2.866667e-03,4.666667e-04
-2.380000e-07,-3.200000e-03,1.400000e-03
-2.375000e-07,-8.066666e-03,-1.046667e-02
-2.370000e-07,-3.933333e-03,-9.600000e-03
-2.365000e-07,-4.666667e-04,2.666667e-03
-2.360000e-07,-7.400000e-03,4.000000e-04
-2.355000e-07,-7.733333e-03,-5.400000e-03
-2.350000e-07,-2.800000e-03,-1.600000e-03
-2.345000e-07,-1.533333e-03,4.666667e-04
-2.340000e-07,1.333333e-03,1.533333e-03
-2.335000e-07,2.666667e-03,1.333333e-03
-2.330000e-07,-5.666667e-03,-1.733333e-03
-2.325000e-07,-7.533333e-03,1.333333e-03
-2.320000e-07,-1.200000e-03,4.533333e-03
-2.315000e-07,-8.666667e-03,-8.000000e-03
-2.310000e-07,-1.046667e-02,-1.273333e-02
-2.305000e-07,-1.600000e-03,1.600000e-03
-2.300000e-07,-6.333333e-03,-1.600000e-03
-2.295000e-07,-1.280000e-02,-1.293333e-02
-2.290000e-07,-8.066666e-03,-6.533334e-03
-2.285000e-07,-4.000000e-03,-3.933333e-03
-2.280000e-07,-7.933334e-03,-8.866667e-03
-2.275000e-07,-1.006667e-02,-6.533334e-03
-2.270000e-07,-6.133333e-03,-3.200000e-03
-2.265000e-07,-3.133333e-03,-4.666667e-04
-2.260000e-07,-1.066667e-03,5.266667e-03
-2.255000e-07,-3.333333e-04,3.200000e-03
-2.250000e-07,-5.333333e-03,-7.600000e-03
-2.245000e-07,-9.800000e-03,-7.866667e-03
-2.240000e-07,-5.333333e-03,2.666667e-04
-2.235000e-07,-5.466667e-03,-1.933333e-03
-2.230000e-07,-1.013333e-02,-4.400000e-03
-2.225000e-07,-4.266667e-03,-2.400000e-03
-2.220000e-07,-5.533333e-03,-3.333333e-03
-2.215000e-07,-1.280000e-02,-5.333333e-04
-2.210000e-07,-5.333333e-03,6.666667e-05
-2.205000e-07,2.866667e-03,-2.600000e-03
-2.200000e-07,5.333333e-04,-6.000000e-04
-2.195000e-07,-1.013333e-02,-6.200000e-03
-2.190000e-07,-1.460000e-02,-1.160000e-02
-2.185000e-07,-4.200000e-03,-8.000000e-04
-2.180000e-07,-5.133334e-03,1.666667e-03
-2.175000e-07,-1.220000e-02,-1.066667e-03
-2.170000e-07,-4.000000e-03,3.666667e-03
-2.165000e-07,-1.266667e-03,-1.533333e-03
-2.160000e-07,-4.466667e-03,-8.466667e-03
-2.155000e-07,-4.466667e-03,-8.866667e-03
-2.150000e-07,-9.400000e-03,-7.333334e-03
-2.145000e-07,-1.006667e-02,-1.333333e-03
-2.140000e-07,-6.400000e-03,-2.066667e-03
-2.135000e-07,-5.000000e-03,-7.133333e-03
-2.130000e-07,-2.266667e-03,-8.666667e-04
-2.125000e-07,-6.000000e-04,1.333333e-03
-2.120000e-07,-3.666667e-03,-5.133334e-03
-2.115000e-07,-1.040000e-02,-5.800000e-03
-2.110000e-07,-1.213333e-02,-2.800000e-03
